Machine generated by MIIND_ROOT/build/apps/PerformanceGeom/ResponseData
0.01667	0.001 0.00136263
0.01668	0.001 0.0014514
0.01669	0.001 0.00154563
0.0167	0.001 0.00164562
0.01671	0.001 0.0017517
0.01672	0.001 0.00186423
0.01673	0.001 0.00198355
0.01674	0.001 0.00211006
0.01675	0.001 0.00224416
0.01676	0.001 0.00238627
0.01677	0.001 0.00253683
0.01678	0.001 0.00269631
0.01679	0.001 0.0028652
0.0168	0.001 0.00304401
0.01681	0.001 0.00323329
0.01682	0.001 0.00343359
0.01683	0.001 0.00364551
0.01684	0.001 0.00386968
0.01685	0.001 0.00410674
0.01686	0.001 0.00435737
0.01687	0.001 0.00462231
0.01688	0.001 0.00490228
0.01689	0.001 0.00519809
0.0169	0.001 0.00551054
0.01691	0.001 0.00584051
0.01692	0.001 0.00618888
0.01693	0.001 0.0065566
0.01694	0.001 0.00694466
0.01695	0.001 0.00735407
0.01696	0.001 0.00778591
0.01697	0.001 0.00824131
0.01698	0.001 0.00872143
0.01699	0.001 0.0092275
0.017	0.001 0.00976078
0.01701	0.001 0.0103226
0.01702	0.001 0.0109144
0.01703	0.001 0.0115375
0.01704	0.001 0.0121935
0.01705	0.001 0.012884
0.01706	0.001 0.0136105
0.01707	0.001 0.0143749
0.01708	0.001 0.0151788
0.01709	0.001 0.016024
0.0171	0.001 0.0169126
0.01711	0.001 0.0178465
0.01712	0.001 0.0188277
0.01713	0.001 0.0198584
0.01714	0.001 0.0209409
0.01715	0.001 0.0220774
0.01716	0.001 0.0232703
0.01717	0.001 0.0245222
0.01718	0.001 0.0258356
0.01719	0.001 0.0272132
0.0172	0.001 0.0286578
0.01721	0.001 0.0301722
0.01722	0.001 0.0317594
0.01723	0.001 0.0334226
0.01724	0.001 0.0351647
0.01725	0.001 0.0369893
0.01726	0.001 0.0388996
0.01727	0.001 0.0408992
0.01728	0.001 0.0429918
0.01729	0.001 0.045181
0.0173	0.001 0.0474707
0.01731	0.001 0.0498649
0.01732	0.001 0.0523678
0.01733	0.001 0.0549835
0.01734	0.001 0.0577165
0.01735	0.001 0.0605713
0.01736	0.001 0.0635524
0.01737	0.001 0.0666646
0.01738	0.001 0.0699128
0.01739	0.001 0.0733021
0.0174	0.001 0.0768376
0.01741	0.001 0.0805247
0.01742	0.001 0.0843687
0.01743	0.001 0.0883753
0.01744	0.001 0.0925501
0.01745	0.001 0.0968991
0.01746	0.001 0.101428
0.01747	0.001 0.106144
0.01748	0.001 0.111052
0.01749	0.001 0.116159
0.0175	0.001 0.121472
0.01751	0.001 0.126997
0.01752	0.001 0.132741
0.01753	0.001 0.138712
0.01754	0.001 0.144915
0.01755	0.001 0.15136
0.01756	0.001 0.158052
0.01757	0.001 0.165
0.01758	0.001 0.172211
0.01759	0.001 0.179693
0.0176	0.001 0.187454
0.01761	0.001 0.195501
0.01762	0.001 0.203844
0.01763	0.001 0.21249
0.01764	0.001 0.221448
0.01765	0.001 0.230725
0.01766	0.001 0.240331
0.01767	0.001 0.250275
0.01768	0.001 0.260564
0.01769	0.001 0.271208
0.0177	0.001 0.282216
0.01771	0.001 0.293596
0.01772	0.001 0.305358
0.01773	0.001 0.317511
0.01774	0.001 0.330063
0.01775	0.001 0.343024
0.01776	0.001 0.356403
0.01777	0.001 0.370209
0.01778	0.001 0.384451
0.01779	0.001 0.399139
0.0178	0.001 0.414281
0.01781	0.001 0.429887
0.01782	0.001 0.445965
0.01783	0.001 0.462526
0.01784	0.001 0.479577
0.01785	0.001 0.497128
0.01786	0.001 0.515187
0.01787	0.001 0.533764
0.01788	0.001 0.552867
0.01789	0.001 0.572504
0.0179	0.001 0.592683
0.01791	0.001 0.613414
0.01792	0.001 0.634705
0.01793	0.001 0.656562
0.01794	0.001 0.678994
0.01795	0.001 0.702009
0.01796	0.001 0.725614
0.01797	0.001 0.749816
0.01798	0.001 0.774622
0.01799	0.001 0.800039
0.018	0.001 0.826073
0.01801	0.001 0.85273
0.01802	0.001 0.880017
0.01803	0.001 0.907939
0.01804	0.001 0.936501
0.01805	0.001 0.965709
0.01806	0.001 0.995568
0.01807	0.001 1.02608
0.01808	0.001 1.05725
0.01809	0.001 1.08909
0.0181	0.001 1.12159
0.01811	0.001 1.15476
0.01812	0.001 1.1886
0.01813	0.001 1.22311
0.01814	0.001 1.25831
0.01815	0.001 1.29418
0.01816	0.001 1.33072
0.01817	0.001 1.36795
0.01818	0.001 1.40586
0.01819	0.001 1.44445
0.0182	0.001 1.48372
0.01821	0.001 1.52366
0.01822	0.001 1.56429
0.01823	0.001 1.60559
0.01824	0.001 1.64757
0.01825	0.001 1.69021
0.01826	0.001 1.73353
0.01827	0.001 1.77751
0.01828	0.001 1.82216
0.01829	0.001 1.86746
0.0183	0.001 1.91342
0.01831	0.001 1.96002
0.01832	0.001 2.00727
0.01833	0.001 2.05516
0.01834	0.001 2.10368
0.01835	0.001 2.15283
0.01836	0.001 2.2026
0.01837	0.001 2.25298
0.01838	0.001 2.30397
0.01839	0.001 2.35555
0.0184	0.001 2.40773
0.01841	0.001 2.46049
0.01842	0.001 2.51382
0.01843	0.001 2.56772
0.01844	0.001 2.62217
0.01845	0.001 2.67717
0.01846	0.001 2.73271
0.01847	0.001 2.78877
0.01848	0.001 2.84536
0.01849	0.001 2.90245
0.0185	0.001 2.96004
0.01851	0.001 3.01811
0.01852	0.001 3.07666
0.01853	0.001 3.13568
0.01854	0.001 3.19515
0.01855	0.001 3.25506
0.01856	0.001 3.31541
0.01857	0.001 3.37617
0.01858	0.001 3.43735
0.01859	0.001 3.49892
0.0186	0.001 3.56088
0.01861	0.001 3.62321
0.01862	0.001 3.68591
0.01863	0.001 3.74895
0.01864	0.001 3.81234
0.01865	0.001 3.87605
0.01866	0.001 3.94008
0.01867	0.001 4.00441
0.01868	0.001 4.06903
0.01869	0.001 4.13394
0.0187	0.001 4.19911
0.01871	0.001 4.26454
0.01872	0.001 4.33022
0.01873	0.001 4.39613
0.01874	0.001 4.46227
0.01875	0.001 4.52861
0.01876	0.001 4.59516
0.01877	0.001 4.6619
0.01878	0.001 4.72881
0.01879	0.001 4.7959
0.0188	0.001 4.86314
0.01881	0.001 4.93053
0.01882	0.001 4.99805
0.01883	0.001 5.0657
0.01884	0.001 5.13347
0.01885	0.001 5.20134
0.01886	0.001 5.26931
0.01887	0.001 5.33737
0.01888	0.001 5.4055
0.01889	0.001 5.47371
0.0189	0.001 5.54197
0.01891	0.001 5.61028
0.01892	0.001 5.67863
0.01893	0.001 5.74701
0.01894	0.001 5.81542
0.01895	0.001 5.88384
0.01896	0.001 5.95227
0.01897	0.001 6.02071
0.01898	0.001 6.08913
0.01899	0.001 6.15754
0.019	0.001 6.22593
0.01901	0.001 6.29428
0.01902	0.001 6.3626
0.01903	0.001 6.43088
0.01904	0.001 6.49911
0.01905	0.001 6.56728
0.01906	0.001 6.63538
0.01907	0.001 6.70342
0.01908	0.001 6.77139
0.01909	0.001 6.83927
0.0191	0.001 6.90707
0.01911	0.001 6.97478
0.01912	0.001 7.04239
0.01913	0.001 7.1099
0.01914	0.001 7.17731
0.01915	0.001 7.2446
0.01916	0.001 7.31178
0.01917	0.001 7.37884
0.01918	0.001 7.44578
0.01919	0.001 7.51259
0.0192	0.001 7.57927
0.01921	0.001 7.64581
0.01922	0.001 7.71221
0.01923	0.001 7.77848
0.01924	0.001 7.84459
0.01925	0.001 7.91056
0.01926	0.001 7.97638
0.01927	0.001 8.04204
0.01928	0.001 8.10755
0.01929	0.001 8.17289
0.0193	0.001 8.23808
0.01931	0.001 8.3031
0.01932	0.001 8.36795
0.01933	0.001 8.43263
0.01934	0.001 8.49714
0.01935	0.001 8.56148
0.01936	0.001 8.62565
0.01937	0.001 8.68963
0.01938	0.001 8.75344
0.01939	0.001 8.81707
0.0194	0.001 8.88052
0.01941	0.001 8.94379
0.01942	0.001 9.00688
0.01943	0.001 9.06978
0.01944	0.001 9.13249
0.01945	0.001 9.19502
0.01946	0.001 9.25736
0.01947	0.001 9.31951
0.01948	0.001 9.38147
0.01949	0.001 9.44325
0.0195	0.001 9.50483
0.01951	0.001 9.56622
0.01952	0.001 9.62743
0.01953	0.001 9.68844
0.01954	0.001 9.74926
0.01955	0.001 9.80988
0.01956	0.001 9.87032
0.01957	0.001 9.93056
0.01958	0.001 9.99061
0.01959	0.001 10.0505
0.0196	0.001 10.1101
0.01961	0.001 10.1696
0.01962	0.001 10.2289
0.01963	0.001 10.288
0.01964	0.001 10.3469
0.01965	0.001 10.4056
0.01966	0.001 10.4641
0.01967	0.001 10.5224
0.01968	0.001 10.5806
0.01969	0.001 10.6385
0.0197	0.001 10.6963
0.01971	0.001 10.7538
0.01972	0.001 10.8112
0.01973	0.001 10.8684
0.01974	0.001 10.9254
0.01975	0.001 10.9822
0.01976	0.001 11.0388
0.01977	0.001 11.0953
0.01978	0.001 11.1515
0.01979	0.001 11.2076
0.0198	0.001 11.2635
0.01981	0.001 11.3192
0.01982	0.001 11.3747
0.01983	0.001 11.43
0.01984	0.001 11.4852
0.01985	0.001 11.5402
0.01986	0.001 11.595
0.01987	0.001 11.6496
0.01988	0.001 11.7041
0.01989	0.001 11.7583
0.0199	0.001 11.8124
0.01991	0.001 11.8663
0.01992	0.001 11.9201
0.01993	0.001 11.9737
0.01994	0.001 12.0271
0.01995	0.001 12.0803
0.01996	0.001 12.1333
0.01997	0.001 12.1862
0.01998	0.001 12.239
0.01999	0.001 12.2915
0.02	0.001 12.3439
0.02001	0.001 12.3961
0.02002	0.001 12.4482
0.02003	0.001 12.5001
0.02004	0.001 12.5518
0.02005	0.001 12.6034
0.02006	0.001 12.6548
0.02007	0.001 12.706
0.02008	0.001 12.7571
0.02009	0.001 12.8081
0.0201	0.001 12.8588
0.02011	0.001 12.9095
0.02012	0.001 12.9599
0.02013	0.001 13.0102
0.02014	0.001 13.0604
